MONTH,COUNTY_DESC,REPORT_TYPE,COUNT
1,Allegany,Fatal Crash,5
1,Allegany,Injury Crash,114
1,Allegany,Property Damage Crash,302
1,Anne Arundel,Fatal Crash,14
1,Anne Arundel,Injury Crash,1509
1,Anne Arundel,Property Damage Crash,3938
1,Baltimore,Fatal Crash,30
1,Baltimore,Injury Crash,2372
1,Baltimore,Property Damage Crash,8911
1,Baltimore City,Fatal Crash,9
1,Baltimore City,Injury Crash,2558
1,Baltimore City,Property Damage Crash,7419
1,Calvert,Injury Crash,179
1,Calvert,Property Damage Crash,448
1,Caroline,Fatal Crash,2
1,Caroline,Injury Crash,83
1,Caroline,Property Damage Crash,195
1,Carroll,Fatal Crash,6
1,Carroll,Injury Crash,285
1,Carroll,Property Damage Crash,854
1,Cecil,Fatal Crash,10
1,Cecil,Injury Crash,238
1,Cecil,Property Damage Crash,682
1,Charles,Fatal Crash,6
1,Charles,Injury Crash,408
1,Charles,Property Damage Crash,1157
1,Dorchester,Fatal Crash,3
1,Dorchester,Injury Crash,99
1,Dorchester,Property Damage Crash,184
1,Frederick,Fatal Crash,10
1,Frederick,Injury Crash,553
1,Frederick,Property Damage Crash,1405
1,Garrett,Fatal Crash,2
1,Garrett,Injury Crash,93
1,Garrett,Property Damage Crash,250
1,Harford,Fatal Crash,10
1,Harford,Injury Crash,482
1,Harford,Property Damage Crash,1269
1,Howard,Fatal Crash,11
1,Howard,Injury Crash,494
1,Howard,Property Damage Crash,1616
1,Kent,Fatal Crash,3
1,Kent,Injury Crash,35
1,Kent,Property Damage Crash,89
1,Montgomery,Fatal Crash,12
1,Montgomery,Injury Crash,2298
1,Montgomery,Property Damage Crash,5058
1,Prince Georges,Fatal Crash,45
1,Prince Georges,Injury Crash,2279
1,Prince Georges,Property Damage Crash,7557
1,Queen Annes,Fatal Crash,4
1,Queen Annes,Injury Crash,100
1,Queen Annes,Property Damage Crash,277
1,Somerset,Fatal Crash,1
1,Somerset,Injury Crash,48
1,Somerset,Property Damage Crash,145
1,St. Marys,Fatal Crash,7
1,St. Marys,Injury Crash,314
1,St. Marys,Property Damage Crash,629
1,Talbot,Fatal Crash,1
1,Talbot,Injury Crash,122
1,Talbot,Property Damage Crash,291
1,Washington,Fatal Crash,13
1,Washington,Injury Crash,378
1,Washington,Property Damage Crash,997
1,Wicomico,Fatal Crash,3
1,Wicomico,Injury Crash,343
1,Wicomico,Property Damage Crash,797
1,Worcester,Fatal Crash,2
1,Worcester,Injury Crash,102
1,Worcester,Property Damage Crash,366
2,Allegany,Fatal Crash,5
2,Allegany,Injury Crash,100
2,Allegany,Property Damage Crash,213
2,Anne Arundel,Fatal Crash,26
2,Anne Arundel,Injury Crash,1492
2,Anne Arundel,Property Damage Crash,3642
2,Baltimore,Fatal Crash,26
2,Baltimore,Injury Crash,2347
2,Baltimore,Property Damage Crash,8603
2,Baltimore City,Fatal Crash,11
2,Baltimore City,Injury Crash,2601
2,Baltimore City,Property Damage Crash,7278
2,Calvert,Fatal Crash,2
2,Calvert,Injury Crash,158
2,Calvert,Property Damage Crash,413
2,Caroline,Fatal Crash,2
2,Caroline,Injury Crash,77
2,Caroline,Property Damage Crash,146
2,Carroll,Fatal Crash,9
2,Carroll,Injury Crash,254
2,Carroll,Property Damage Crash,740
2,Cecil,Fatal Crash,9
2,Cecil,Injury Crash,228
2,Cecil,Property Damage Crash,658
2,Charles,Fatal Crash,10
2,Charles,Injury Crash,393
2,Charles,Property Damage Crash,1014
2,Dorchester,Fatal Crash,1
2,Dorchester,Injury Crash,89
2,Dorchester,Property Damage Crash,166
2,Frederick,Fatal Crash,6
2,Frederick,Injury Crash,474
2,Frederick,Property Damage Crash,1131
2,Garrett,Fatal Crash,4
2,Garrett,Injury Crash,80
2,Garrett,Property Damage Crash,188
2,Harford,Fatal Crash,9
2,Harford,Injury Crash,433
2,Harford,Property Damage Crash,1177
2,Howard,Fatal Crash,5
2,Howard,Injury Crash,475
2,Howard,Property Damage Crash,1504
2,Kent,Fatal Crash,1
2,Kent,Injury Crash,33
2,Kent,Property Damage Crash,78
2,Montgomery,Fatal Crash,18
2,Montgomery,Injury Crash,2100
2,Montgomery,Property Damage Crash,4412
2,Prince Georges,Fatal Crash,41
2,Prince Georges,Injury Crash,2319
2,Prince Georges,Property Damage Crash,7223
2,Queen Annes,Fatal Crash,2
2,Queen Annes,Injury Crash,93
2,Queen Annes,Property Damage Crash,287
2,Somerset,Fatal Crash,3
2,Somerset,Injury Crash,50
2,Somerset,Property Damage Crash,102
2,St. Marys,Fatal Crash,7
2,St. Marys,Injury Crash,278
2,St. Marys,Property Damage Crash,551
2,Talbot,Fatal Crash,2
2,Talbot,Injury Crash,108
2,Talbot,Property Damage Crash,214
2,Washington,Fatal Crash,6
2,Washington,Injury Crash,357
2,Washington,Property Damage Crash,903
2,Wicomico,Fatal Crash,3
2,Wicomico,Injury Crash,347
2,Wicomico,Property Damage Crash,771
2,Worcester,Fatal Crash,5
2,Worcester,Injury Crash,100
2,Worcester,Property Damage Crash,256
3,Allegany,Fatal Crash,1
3,Allegany,Injury Crash,104
3,Allegany,Property Damage Crash,233
3,Anne Arundel,Fatal Crash,24
3,Anne Arundel,Injury Crash,1619
3,Anne Arundel,Property Damage Crash,3606
3,Baltimore,Fatal Crash,13
3,Baltimore,Injury Crash,2552
3,Baltimore,Property Damage Crash,8819
3,Baltimore City,Fatal Crash,6
3,Baltimore City,Injury Crash,2950
3,Baltimore City,Property Damage Crash,7437
3,Calvert,Fatal Crash,3
3,Calvert,Injury Crash,176
3,Calvert,Property Damage Crash,383
3,Caroline,Fatal Crash,3
3,Caroline,Injury Crash,76
3,Caroline,Property Damage Crash,179
3,Carroll,Fatal Crash,5
3,Carroll,Injury Crash,262
3,Carroll,Property Damage Crash,759
3,Cecil,Fatal Crash,8
3,Cecil,Injury Crash,233
3,Cecil,Property Damage Crash,611
3,Charles,Fatal Crash,15
3,Charles,Injury Crash,416
3,Charles,Property Damage Crash,1031
3,Dorchester,Fatal Crash,2
3,Dorchester,Injury Crash,76
3,Dorchester,Property Damage Crash,196
3,Frederick,Fatal Crash,12
3,Frederick,Injury Crash,522
3,Frederick,Property Damage Crash,1273
3,Garrett,Fatal Crash,1
3,Garrett,Injury Crash,84
3,Garrett,Property Damage Crash,176
3,Harford,Fatal Crash,12
3,Harford,Injury Crash,463
3,Harford,Property Damage Crash,1221
3,Howard,Fatal Crash,11
3,Howard,Injury Crash,490
3,Howard,Property Damage Crash,1427
3,Kent,Fatal Crash,1
3,Kent,Injury Crash,25
3,Kent,Property Damage Crash,76
3,Montgomery,Fatal Crash,20
3,Montgomery,Injury Crash,2152
3,Montgomery,Property Damage Crash,4590
3,Prince Georges,Fatal Crash,47
3,Prince Georges,Injury Crash,2454
3,Prince Georges,Property Damage Crash,7579
3,Queen Annes,Fatal Crash,3
3,Queen Annes,Injury Crash,111
3,Queen Annes,Property Damage Crash,292
3,Somerset,Fatal Crash,2
3,Somerset,Injury Crash,47
3,Somerset,Property Damage Crash,102
3,St. Marys,Fatal Crash,9
3,St. Marys,Injury Crash,303
3,St. Marys,Property Damage Crash,540
3,Talbot,Fatal Crash,1
3,Talbot,Injury Crash,115
3,Talbot,Property Damage Crash,284
3,Washington,Fatal Crash,9
3,Washington,Injury Crash,385
3,Washington,Property Damage Crash,897
3,Wicomico,Fatal Crash,10
3,Wicomico,Injury Crash,345
3,Wicomico,Property Damage Crash,743
3,Worcester,Fatal Crash,6
3,Worcester,Injury Crash,102
3,Worcester,Property Damage Crash,336
4,Allegany,Fatal Crash,3
4,Allegany,Injury Crash,113
4,Allegany,Property Damage Crash,216
4,Anne Arundel,Fatal Crash,20
4,Anne Arundel,Injury Crash,1528
4,Anne Arundel,Property Damage Crash,3523
4,Baltimore,Fatal Crash,23
4,Baltimore,Injury Crash,2424
4,Baltimore,Property Damage Crash,8249
4,Baltimore City,Fatal Crash,5
4,Baltimore City,Injury Crash,3097
4,Baltimore City,Property Damage Crash,7743
4,Calvert,Fatal Crash,2
4,Calvert,Injury Crash,188
4,Calvert,Property Damage Crash,361
4,Caroline,Fatal Crash,2
4,Caroline,Injury Crash,66
4,Caroline,Property Damage Crash,154
4,Carroll,Fatal Crash,10
4,Carroll,Injury Crash,303
4,Carroll,Property Damage Crash,687
4,Cecil,Fatal Crash,12
4,Cecil,Injury Crash,280
4,Cecil,Property Damage Crash,607
4,Charles,Fatal Crash,12
4,Charles,Injury Crash,458
4,Charles,Property Damage Crash,1065
4,Dorchester,Fatal Crash,2
4,Dorchester,Injury Crash,108
4,Dorchester,Property Damage Crash,143
4,Frederick,Fatal Crash,11
4,Frederick,Injury Crash,559
4,Frederick,Property Damage Crash,1108
4,Garrett,Injury Crash,91
4,Garrett,Property Damage Crash,155
4,Harford,Fatal Crash,8
4,Harford,Injury Crash,471
4,Harford,Property Damage Crash,1189
4,Howard,Fatal Crash,11
4,Howard,Injury Crash,510
4,Howard,Property Damage Crash,1443
4,Kent,Fatal Crash,2
4,Kent,Injury Crash,24
4,Kent,Property Damage Crash,70
4,Montgomery,Fatal Crash,15
4,Montgomery,Injury Crash,2185
4,Montgomery,Property Damage Crash,4428
4,Prince Georges,Fatal Crash,46
4,Prince Georges,Injury Crash,2494
4,Prince Georges,Property Damage Crash,7205
4,Queen Annes,Fatal Crash,6
4,Queen Annes,Injury Crash,104
4,Queen Annes,Property Damage Crash,226
4,Somerset,Fatal Crash,3
4,Somerset,Injury Crash,55
4,Somerset,Property Damage Crash,120
4,St. Marys,Fatal Crash,7
4,St. Marys,Injury Crash,344
4,St. Marys,Property Damage Crash,566
4,Talbot,Fatal Crash,5
4,Talbot,Injury Crash,115
4,Talbot,Property Damage Crash,260
4,Washington,Fatal Crash,8
4,Washington,Injury Crash,389
4,Washington,Property Damage Crash,893
4,Wicomico,Fatal Crash,7
4,Wicomico,Injury Crash,372
4,Wicomico,Property Damage Crash,687
4,Worcester,Fatal Crash,6
4,Worcester,Injury Crash,130
4,Worcester,Property Damage Crash,350
5,Allegany,Fatal Crash,7
5,Allegany,Injury Crash,115
5,Allegany,Property Damage Crash,234
5,Anne Arundel,Fatal Crash,30
5,Anne Arundel,Injury Crash,1847
5,Anne Arundel,Property Damage Crash,4241
5,Baltimore,Fatal Crash,29
5,Baltimore,Injury Crash,2849
5,Baltimore,Property Damage Crash,9291
5,Baltimore City,Fatal Crash,8
5,Baltimore City,Injury Crash,3471
5,Baltimore City,Property Damage Crash,8639
5,Calvert,Fatal Crash,2
5,Calvert,Injury Crash,226
5,Calvert,Property Damage Crash,464
5,Caroline,Fatal Crash,2
5,Caroline,Injury Crash,87
5,Caroline,Property Damage Crash,183
5,Carroll,Fatal Crash,3
5,Carroll,Injury Crash,321
5,Carroll,Property Damage Crash,779
5,Cecil,Fatal Crash,15
5,Cecil,Injury Crash,297
5,Cecil,Property Damage Crash,702
5,Charles,Fatal Crash,11
5,Charles,Injury Crash,522
5,Charles,Property Damage Crash,1184
5,Dorchester,Injury Crash,121
5,Dorchester,Property Damage Crash,206
5,Frederick,Fatal Crash,19
5,Frederick,Injury Crash,673
5,Frederick,Property Damage Crash,1326
5,Garrett,Fatal Crash,4
5,Garrett,Injury Crash,86
5,Garrett,Property Damage Crash,179
5,Harford,Fatal Crash,8
5,Harford,Injury Crash,539
5,Harford,Property Damage Crash,1372
5,Howard,Fatal Crash,14
5,Howard,Injury Crash,610
5,Howard,Property Damage Crash,1696
5,Kent,Fatal Crash,3
5,Kent,Injury Crash,49
5,Kent,Property Damage Crash,90
5,Montgomery,Fatal Crash,14
5,Montgomery,Injury Crash,2513
5,Montgomery,Property Damage Crash,5068
5,Prince Georges,Fatal Crash,54
5,Prince Georges,Injury Crash,2781
5,Prince Georges,Property Damage Crash,8480
5,Queen Annes,Fatal Crash,4
5,Queen Annes,Injury Crash,140
5,Queen Annes,Property Damage Crash,343
5,Somerset,Fatal Crash,2
5,Somerset,Injury Crash,56
5,Somerset,Property Damage Crash,124
5,St. Marys,Fatal Crash,10
5,St. Marys,Injury Crash,374
5,St. Marys,Property Damage Crash,603
5,Talbot,Fatal Crash,1
5,Talbot,Injury Crash,144
5,Talbot,Property Damage Crash,311
5,Washington,Fatal Crash,6
5,Washington,Injury Crash,442
5,Washington,Property Damage Crash,1068
5,Wicomico,Fatal Crash,7
5,Wicomico,Injury Crash,423
5,Wicomico,Property Damage Crash,808
5,Worcester,Fatal Crash,10
5,Worcester,Injury Crash,256
5,Worcester,Property Damage Crash,671
6,Allegany,Fatal Crash,3
6,Allegany,Injury Crash,130
6,Allegany,Property Damage Crash,238
6,Anne Arundel,Fatal Crash,26
6,Anne Arundel,Injury Crash,1814
6,Anne Arundel,Property Damage Crash,3815
6,Baltimore,Fatal Crash,14
6,Baltimore,Injury Crash,2797
6,Baltimore,Property Damage Crash,8946
6,Baltimore City,Fatal Crash,2
6,Baltimore City,Injury Crash,3276
6,Baltimore City,Property Damage Crash,7274
6,Calvert,Fatal Crash,6
6,Calvert,Injury Crash,203
6,Calvert,Property Damage Crash,438
6,Caroline,Fatal Crash,5
6,Caroline,Injury Crash,77
6,Caroline,Property Damage Crash,192
6,Carroll,Fatal Crash,10
6,Carroll,Injury Crash,288
6,Carroll,Property Damage Crash,751
6,Cecil,Fatal Crash,11
6,Cecil,Injury Crash,300
6,Cecil,Property Damage Crash,622
6,Charles,Fatal Crash,9
6,Charles,Injury Crash,507
6,Charles,Property Damage Crash,1053
6,Dorchester,Fatal Crash,1
6,Dorchester,Injury Crash,121
6,Dorchester,Property Damage Crash,211
6,Frederick,Fatal Crash,13
6,Frederick,Injury Crash,648
6,Frederick,Property Damage Crash,1272
6,Garrett,Fatal Crash,3
6,Garrett,Injury Crash,101
6,Garrett,Property Damage Crash,158
6,Harford,Fatal Crash,9
6,Harford,Injury Crash,557
6,Harford,Property Damage Crash,1244
6,Howard,Fatal Crash,12
6,Howard,Injury Crash,539
6,Howard,Property Damage Crash,1539
6,Kent,Fatal Crash,5
6,Kent,Injury Crash,29
6,Kent,Property Damage Crash,67
6,Montgomery,Fatal Crash,22
6,Montgomery,Injury Crash,2446
6,Montgomery,Property Damage Crash,4442
6,Prince Georges,Fatal Crash,52
6,Prince Georges,Injury Crash,2549
6,Prince Georges,Property Damage Crash,7666
6,Queen Annes,Fatal Crash,2
6,Queen Annes,Injury Crash,144
6,Queen Annes,Property Damage Crash,302
6,Somerset,Fatal Crash,3
6,Somerset,Injury Crash,50
6,Somerset,Property Damage Crash,96
6,St. Marys,Fatal Crash,6
6,St. Marys,Injury Crash,322
6,St. Marys,Property Damage Crash,519
6,Talbot,Injury Crash,143
6,Talbot,Property Damage Crash,324
6,Washington,Fatal Crash,10
6,Washington,Injury Crash,435
6,Washington,Property Damage Crash,973
6,Wicomico,Fatal Crash,2
6,Wicomico,Injury Crash,404
6,Wicomico,Property Damage Crash,713
6,Worcester,Fatal Crash,7
6,Worcester,Injury Crash,410
6,Worcester,Property Damage Crash,885
7,Allegany,Fatal Crash,1
7,Allegany,Injury Crash,127
7,Allegany,Property Damage Crash,240
